Question (max 120 chars)	Answer 1 (max 75 chars)	Answer 2 (max 75 chars)	Answer 3 (max 75 chars)	Answer 4 (max 75 chars)	Time limit (sec)	Correct answer(s)
Welche drei Säulen bilden das funktionale Fundament der agentischen Schleife (Agentic Loop) in autonomen Systemen?	Input, Processing, Output	Wahrnehmung (Perception), Denken (Reasoning), Handeln (Action)	Datenbeschaffung, Modelltraining, Inferenz	Prompting, API-Call, JSON-Parsing	30	2
Vorteile des ReAct-Patterns gegenüber isolierter Planung/Aktion? (Mehrfachauswahl)	Modell kann über 'Thoughts' Zwischenschritte planen & analysieren.	Es reduziert die Inferenzkosten auf Null (keine API-Calls nötig).	Erkennt Fehler in 'Observations' & passt Pläne dynamisch an.	Es verhindert Halluzinationen komplett bei Mathe-Berechnungen.	30	1,3
Wie teilt ein Large Language Model dem ausführenden System mit, dass es ein Tool aufrufen möchte?	Es generiert ein strukturiertes JSON mit Funktionsname & Argumenten.	Es führt den Python-Code direkt in seinem eigenen latenten Raum aus.	Es sendet eine HTTP-Anfrage über integriertes TCP ans Internet.	Es gibt dem User Anweisungen, das Tool manuell zu starten.	30	1
Elemente einer Funktionsdeklaration (JSON Schema) für Tool Calling? (Mehrfachauswahl)	Ein eindeutiger Funktionsname.	Semantische Beschreibung, wozu das Tool dient.	Die vollständige Python-Implementierung des Funktionskörpers.	Parameter-Spezifikation (Typen, Beschreibungen & Pflichtfelder).	30	1,2,4
Warum eignet sich JAX gut für physikalische Simulationen in Agentenschleifen?	JIT-Kompilierung in XLA & Vektorisierung für Millisekunden-Laufzeit.	JAX enthält vortrainierte neuronale Netze zur Bilderkennung von Fraktalen.	JAX benötigt keinen Arbeitsspeicher und verhindert jegliche Latenz.	Es wandelt die Mandelbrot-Menge in Text um für das LLM.	30	1
Welche Aussagen über das Gemma-Skills-Ökosystem & die Struktur sind korrekt? (Mehrfachauswahl)	Skill ist ein modularer Ordner für Wissen & Tools einer Fähigkeit.	SKILL.md enthält YAML-Metadaten & Kognitionsanweisungen (Prompts).	Skills dürfen nur in C++ geschrieben sein, um Latenz zu minimieren.	Tools und JSON-Schemas werden im tools/-Unterverzeichnis abgelegt.	30	1,2,4
Was passiert mit der Rückgabe (Observation) eines Funktionsaufrufs im ReAct-Pattern?	Sie wird gelöscht, da das Modell den Zustand im Gedächtnis behält.	Wird als Nachricht in Verlauf gefügt für nächsten Reasoning-Schritt.	Wird direkt in die Gewichte des Modells eintrainiert (Fine-Tuning).	Wird dem User als Fehlermeldung angezeigt, um Stop zu erzwingen.	30	2
Probleme bei komplexen Simulationen ohne Tools durch LLMs? (Mehrfachauswahl)	Modell neigt zu mathematischen Halluzinationen bei Rechenschritten.	Kann keine deterministischen Berechnungen über viele Schritte garantieren.	Modell verweigert sofort die Ausführung und gibt einen Fehler aus.	Ist auf statisches Wissen limitiert und ohne reale Laufzeitdaten.	30	1,2,4
Welche Iterationsvorschrift definiert die Mandelbrot-Menge in Problem Set 9?	z_{n+1} = z_n^2 + c	z_{n+1} = sin(z_n) * c	x_{n+1} = r * x_n * (1 - x_n)	f(x) = sigma(W * x + b)	30	1
Wie reagiert ein robuster ReAct-Agent idealerweise auf einen Tool-Fehler?	Ignoriert den Fehler und wiederholt die Aktion in Endlosschleife.	Er bricht die gesamte Ausführung ab und wirft eine unbehandelte Exception.	Liest Fehler in 'Observation', plant Korrektur & passt Parameter an.	Er löscht den bisherigen Gesprächsverlauf, um den Fehler zu verbergen.	30	3
Welche Fakten treffen auf den Begründer Benoît Mandelbrot zu? (Mehrfachauswahl)	Prägte 1975 den Begriff 'Fraktal' (lat. fractus = gebrochen).	Sein 'B.' steht für nichts; rekursiver Witz: Benoît B. Mandelbrot.	Forschte bei IBM mit Zugriff auf Rechner zur Visualisierung.	Gewann den Physik-Nobelpreis für Flüssigkeitsturbulenzen.	30	1,2,3
